query_name,avg_time_ms,std_dev_ms,min_time_ms,max_time_ms
C04_disciplina_equipamentos_sala.sql,517.12,103.89,402.09,838.15
C01_matriculas_por_turma.sql,3.6,1.5,2.07,8.36
C03_capacidade_sala_alunos.sql,3.5,1.34,2.5,8.89
C14_turmas_aluno.sql,3.29,1.16,2.53,8.08
C13_disciplinas_multiplas_turmas.sql,2.99,0.98,2.29,6.88
C02_horarios_mais_livres.sql,2.97,1.0,2.2,7.01
C12_turmas_proximas_capacidade_maxima.sql,2.78,0.95,2.13,6.6
C08_disponibilidade_equipamentos_por_horario.sql,2.56,0.84,1.85,5.47
C20_dias_maior_carga_aluno.sql,2.55,0.91,1.98,5.82
C15_vagas_por_turma.sql,2.47,1.03,1.93,6.79
C05_horarios_livres_professor.sql,2.45,1.15,1.76,7.23
C06_dias_maior_carga_professor.sql,2.34,0.88,1.89,6.02
C10_horarios_ocupados_sala.sql,2.26,0.64,1.93,4.91
C18_distribuicao_disciplinas_professor.sql,2.21,0.7,1.75,5.0
C16_salas_alunos_deficiencia.sql,2.08,0.74,1.71,5.13
C11_horarios_mais_requisitados.sql,2.05,0.77,1.33,5.09
C09_quantidade_turmas_sala.sql,1.92,0.54,1.5,4.16
C19_carga_horaria_aluno.sql,1.83,0.72,1.45,4.86
C17_carga_horaria_professor.sql,1.81,0.61,1.42,4.29
C07_estoque_equipamentos.sql,1.76,0.73,1.27,4.74
