query_name,avg_time_ms,std_dev_ms,min_time_ms,max_time_ms
C04_disciplina_equipamentos_sala.sql,5.69,2.19,4.11,13.41
C18_distribuicao_disciplinas_professor.sql,5.0,1.56,2.93,9.22
C14_turmas_aluno.sql,4.27,1.76,2.74,9.48
C03_capacidade_sala_alunos.sql,4.21,1.27,2.67,8.22
C20_dias_maior_carga_aluno.sql,3.9,1.45,2.51,9.78
C15_vagas_por_turma.sql,3.48,2.16,2.45,12.43
C19_carga_horaria_aluno.sql,3.34,1.33,2.41,8.64
C02_horarios_mais_livres.sql,3.31,1.33,2.41,8.71
C16_salas_alunos_deficiencia.sql,3.31,1.08,2.3,6.56
C17_carga_horaria_professor.sql,3.24,1.29,2.23,8.46
C08_disponibilidade_equipamentos_por_horario.sql,2.9,1.0,2.14,6.99
C05_horarios_livres_professor.sql,2.83,0.92,2.23,6.48
C06_dias_maior_carga_professor.sql,2.77,1.28,2.01,8.05
C01_matriculas_por_turma.sql,2.73,1.29,2.0,8.02
C13_disciplinas_multiplas_turmas.sql,2.72,0.77,1.89,5.43
C12_turmas_proximas_capacidade_maxima.sql,2.47,0.69,1.68,4.75
C10_horarios_ocupados_sala.sql,2.07,0.72,1.56,4.94
C09_quantidade_turmas_sala.sql,1.96,0.57,1.6,4.31
C07_estoque_equipamentos.sql,1.91,0.7,1.54,4.83
C11_horarios_mais_requisitados.sql,1.89,0.65,1.41,4.63
