query_name,avg_time_ms,std_dev_ms,min_time_ms,max_time_ms
C04_disciplina_equipamentos_sala.sql,41.22,6.17,38.6,67.03
C03_capacidade_sala_alunos.sql,21.09,9.73,17.28,61.8
C05_horarios_livres_professor.sql,20.19,5.51,18.4,43.54
C10_horarios_ocupados_sala.sql,18.65,5.14,16.29,39.85
C20_dias_maior_carga_aluno.sql,2.49,0.9,1.91,6.19
C08_disponibilidade_equipamentos_por_horario.sql,2.22,0.76,1.92,5.41
C15_vagas_por_turma.sql,2.22,0.77,1.86,5.47
C18_distribuicao_disciplinas_professor.sql,2.2,0.75,1.79,5.33
C06_dias_maior_carga_professor.sql,2.18,0.85,1.77,5.76
C14_turmas_aluno.sql,2.12,0.65,1.79,4.83
C01_matriculas_por_turma.sql,2.02,1.17,1.58,6.93
C12_turmas_proximas_capacidade_maxima.sql,2.01,0.68,1.7,4.81
C19_carga_horaria_aluno.sql,2.01,0.73,1.73,5.1
C16_salas_alunos_deficiencia.sql,2.0,0.79,1.56,5.29
C02_horarios_mais_livres.sql,1.99,0.73,1.71,5.09
C17_carga_horaria_professor.sql,1.96,0.69,1.6,4.84
C11_horarios_mais_requisitados.sql,1.9,0.62,1.58,4.49
C07_estoque_equipamentos.sql,1.86,0.67,1.41,4.65
C13_disciplinas_multiplas_turmas.sql,1.84,0.51,1.36,3.92
C09_quantidade_turmas_sala.sql,1.74,0.61,1.38,4.26
